timestamp,OAT,Electricity:Facility [kWh](TimeStep),HVAC_Elec
2023/ 01/01  00:15:00,15.71,1.929733697,1.744051191
2023/ 01/01  00:30:00,18.5,1.929733697,1.744051191
2023/ 01/01  00:45:00,21.29,1.929733697,1.744051191
2023/ 01/01  01:00:00,24.08,1.929733697,1.744051191
2023/ 01/01  01:15:00,24.08,1.915110713,1.744051191
2023/ 01/01  01:30:00,24.08,1.915110713,1.744051191
2023/ 01/01  01:45:00,24.08,1.915110713,1.744051191
2023/ 01/01  02:00:00,24.08,1.915110713,1.744051191
2023/ 01/01  02:15:00,24.305,1.910282879,1.744051191
2023/ 01/01  02:30:00,24.53,1.910282879,1.744051191
2023/ 01/01  02:45:00,24.755,1.910282879,1.744051191
2023/ 01/01  03:00:00,24.98,1.910282879,1.744051191
2023/ 01/01  03:15:00,25.25,1.90672547,1.744051191
2023/ 01/01  03:30:00,25.52,1.90672547,1.744051191
2023/ 01/01  03:45:00,25.79,1.90672547,1.744051191
2023/ 01/01  04:00:00,26.06,1.90672547,1.744051191
2023/ 01/01  04:15:00,26.06,1.916407368,1.744051191
2023/ 01/01  04:30:00,26.06,1.916407368,1.744051191
2023/ 01/01  04:45:00,26.06,1.916407368,1.744051191
2023/ 01/01  05:00:00,26.06,1.916407368,1.744051191
2023/ 01/01  05:15:00,25.79,1.953088479,1.744051191
2023/ 01/01  05:30:00,25.52,1.953088479,1.744051191
2023/ 01/01  05:45:00,25.25,1.953088479,1.744051191
2023/ 01/01  06:00:00,24.98,1.953088479,1.744051191
2023/ 01/01  06:15:00,24.755,1.981146163,1.744051191
2023/ 01/01  06:30:00,24.53,1.981146163,1.744051191
2023/ 01/01  06:45:00,24.305,2.096024943,1.746748515
2023/ 01/01  07:00:00,24.08,2.09668001,1.746748515
2023/ 01/01  07:15:00,24.575,2.122003394,1.746748515
2023/ 01/01  07:30:00,25.07,2.122573236,1.746748515
2023/ 01/01  07:45:00,25.565,2.123201376,1.746748515
